index,#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
1792,1793.0,60,Универзитет у Новом Саду,"Економски факултет, Суботица",Државни факултет,2233,Пословна информатика (240 ЕСПБ),Дипломирани пословни информатичар,Друштвено-хуманистичке науке,Основне академске,96000.0,1900.0,240,612-00-00809/2017-06,2017-05-05,90.0,57.0,32.0,0.0,0.0,,,26.0,8.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0,80.0,0.0,89.0,34.0,0.0,123.0,8,4,80.0,83.0,40.0,0.0,0.0,0.0,0.0,DH,Државни факултет,0.0
1793,1794.0,88,Државни Универзитет у Новом Пазару,Департман за економске науке,Државни факултет,2234,Пословна информатика ОАС,Дипломирани пословни информатичар,Друштвено-хуманистичке науке,Основне академске,50000.0,625.0,240,612-00-00863/2017-06,2017-04-21,40.0,,,,,,,,,,,,,,,,,,,0,43.0,0.0,0.0,0.0,0.0,0.0,8,4,43.0,0.0,0.0,0.0,0.0,0.0,0.0,DH,Државни факултет,0.0
1794,1795.0,12,Универзитет у Београду,Филозофски факултет,Државни факултет,2241,Филозофија,Дипломирани филозоф,Друштвено-хуманистичке науке,Основне академске,118548.0,1729.0,240,612-00-02652/2013-04,2014-12-12,70.0,65.0,42.0,20.0,37.0,0.0,0.0,8.0,22.0,25.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,41.0,0.0,164.0,151.0,0.0,315.0,8,4,41.0,73.0,64.0,45.0,133.0,0.0,0.0,DH,Државни факултет,133.0
1795,1796.0,90,Државни Универзитет у Новом Пазару,Департман за техничке науке,Државни факултет,2236,Софтверско инжењерство (ОАС),Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,60000.0,675.0,240,612-00-01035/2017-06,2017-05-19,50.0,,,,,,,,,,,,,,,,,,,0,52.0,0.0,0.0,0.0,0.0,0.0,8,4,52.0,0.0,0.0,0.0,0.0,0.0,0.0,TT,Државни факултет,0.0
1796,1797.0,97,Државни Универзитет у Новом Пазару,Департман хемијско-технолошке науке,Државни факултет,2239,Агрономија (ОАС)-НОВИ ПРОГРАМ-БИОТЕХНИЧКЕ НАУКЕ,Инжењер пољопривреде,Техничко-технолошке науке,Основне академске,60000.0,625.0,180,612-00-00767/2017-06,2017-04-17,30.0,,,,,,,,,,,,,,,,,,,0,21.0,6.0,0.0,0.0,0.0,0.0,6,3,27.0,0.0,0.0,0.0,0.0,0.0,0.0,TT,Државни факултет,0.0
1797,1798.0,97,Државни Универзитет у Новом Пазару,Департман хемијско-технолошке науке,Државни факултет,2240,Прехрамбена технологиja OAС -НОВИ ПРОГРАМ-БИОТЕХНИЧКЕ НАУКЕ,Инжењер технологије,Техничко-технолошке науке,Основне академске,60000.0,625.0,180,612-00-00769/2017-06,2017-04-07,30.0,,,,,,,,,,,,,,,,,,,0,17.0,0.0,0.0,0.0,0.0,0.0,6,3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,TT,Државни факултет,0.0
1798,1799.0,12,Универзитет у Београду,Филозофски факултет,Државни факултет,2242,Педагогија,Дипломирани педагог,Друштвено-хуманистичке науке,Основне академске,118548.0,1729.0,240,612-00-02652/2013-04,2014-12-12,60.0,55.0,45.0,49.0,58.0,0.0,0.0,7.0,6.0,7.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,42.0,0.0,207.0,64.0,0.0,271.0,8,4,42.0,62.0,51.0,56.0,102.0,0.0,0.0,DH,Државни факултет,102.0
1799,1800.0,12,Универзитет у Београду,Филозофски факултет,Државни факултет,2243,Психологија,Дипломирани психолог,Друштвено-хуманистичке науке,Основне академске,118548.0,1729.0,240,612-00-02652/2013-04,2014-12-12,88.0,82.0,73.0,69.0,119.0,0.0,0.0,12.0,33.0,36.0,138.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73,466.0,0.0,343.0,219.0,1.0,563.0,8,4,466.0,95.0,106.0,105.0,257.0,0.0,0.0,DH,Државни факултет,257.0
1800,1801.0,12,Универзитет у Београду,Филозофски факултет,Државни факултет,2244,Историја уметности,Дипломирани историчар уметности,Друштвено-хуманистичке науке,Основне академске,118548.0,1729.0,240,612-00-02652/2013-04,2014-12-12,90.0,60.0,39.0,47.0,75.0,0.0,0.0,18.0,37.0,30.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,42.0,0.0,221.0,217.0,0.0,438.0,8,4,42.0,78.0,76.0,77.0,207.0,0.0,0.0,DH,Државни факултет,207.0
1801,1802.0,12,Универзитет у Београду,Филозофски факултет,Државни факултет,2245,Етнологија и антропологија,Дипломирани етнолог-антрополог,Друштвено-хуманистичке науке,Основне академске,118548.0,1729.0,240,612-00-02652/2013-04,2014-12-12,55.0,49.0,30.0,31.0,56.0,0.0,0.0,14.0,18.0,10.0,52.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27,35.0,0.0,166.0,94.0,2.0,262.0,8,4,35.0,63.0,48.0,42.0,109.0,0.0,0.0,DH,Државни факултет,109.0
1803,1804.0,86,Универзитет уметности у Београду,Факултет музичке уметности,Државни факултет,2250,Извођачке уметности ОАС,Дипломирани музички уметник,Уметност,Основне академске,120000.0,1500.0,240,612-00-01391/2015-06,2017-03-31,84.0,,,,,,,,,,,,,,,,,,,0,120.0,0.0,0.0,0.0,0.0,0.0,8,4,120.0,0.0,0.0,0.0,0.0,0.0,0.0,UM,Државни факултет,0.0
1804,1805.0,86,Универзитет уметности у Београду,Факултет музичке уметности,Државни факултет,2327,Науке о музичкој уметности ОАС,Дипломирани теоретичар уметности,Друштвено-хуманистичке науке,Основне академске,120000.0,1500.0,240,612-00-01391/2015-06,2017-01-27,52.0,,,,,,,,,,,,,,,,,,,34,61.0,0.0,0.0,0.0,0.0,0.0,8,4,61.0,0.0,0.0,0.0,0.0,0.0,0.0,DH,Државни факултет,0.0
1805,1806.0,44,Универзитет у Крагујевцу,Музички и примењене уметности,Државни факултет,2278,Ликовне уметности,Дипломирани ликовни уметник,Уметност,Основне академске,150000.0,1500.0,240,612-00-02688/2013-04,2016-05-31,14.0,,,,,,,,,,,,,,,,,,,11,22.0,0.0,0.0,0.0,0.0,0.0,8,4,22.0,0.0,0.0,0.0,0.0,0.0,0.0,UM,Државни факултет,0.0
1806,1807.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2280,Основне академске студије Рачунарске науке,Информатичар,Природно-математичке науке,Основне академске,77440.0,2000.0,180,612-00-00834/2017-06,2017-05-19,45.0,33.0,10.0,12.0,2.0,,,15.0,8.0,64.0,14.0,,,0.0,0.0,0.0,0.0,,,0,31.0,0.0,57.0,101.0,0.0,158.0,6,3,31.0,48.0,18.0,76.0,16.0,0.0,0.0,PM,Државни факултет,76.0
1807,1808.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2281,Интегрисане академске студије мастер професор биологије,Мастер професор биологије,Природно-математичке науке,Интегр. академске,90750.0,5000.0,300,612-00-00642/2016-06,2017-05-13,40.0,26.0,1.0,0.0,2.0,18.0,,6.0,3.0,1.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,,0,3.0,5.0,47.0,20.0,0.0,67.0,10,5,8.0,32.0,4.0,1.0,2.0,28.0,0.0,PM,Државни факултет,28.0
1821,1822.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2309,Интегрисане академске студије мастер професор физике,Мастер професор физике,Природно-математичке науке,Интегр. академске,54450.0,2000.0,300,612-00-00834/2017-06,2017-06-07,25.0,4.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,9.0,,0.0,0.0,0.0,0.0,0.0,,0,4.0,0.0,4.0,15.0,0.0,19.0,10,5,4.0,5.0,1.0,2.0,2.0,9.0,0.0,PM,Државни факултет,9.0
1822,1823.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2310,Интегрисане академске студије мастер професор математике,Мастер професор математике,Природно-математичке науке,Интегр. академске,54450.0,2000.0,300,612-00-00834/2017-06,2017-06-07,55.0,27.0,0.0,1.0,2.0,6.0,,3.0,3.0,6.0,8.0,33.0,,0.0,0.0,0.0,0.0,0.0,,0,29.0,1.0,36.0,53.0,0.0,89.0,10,5,30.0,30.0,3.0,7.0,10.0,39.0,0.0,PM,Државни факултет,39.0
1823,1824.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2311,Основне академске студије професор географије,Дипломирани професор географије,Природно-математичке науке,Основне академске,54450.0,2000.0,240,612-00-003393/2016-06,2017-05-26,40.0,15.0,0.0,0.0,0.0,,,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0,10.0,2.0,15.0,6.0,0.0,21.0,8,4,12.0,21.0,0.0,0.0,0.0,0.0,0.0,PM,Државни факултет,0.0
1824,1825.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2312,Основне академске студије Туризам,Дипломирани менаџер,Природно-математичке науке,Основне академске,107690.0,2000.0,240,612-00-003393/2016-06,2017-05-19,160.0,60.0,134.0,99.0,117.0,,,100.0,12.0,31.0,87.0,,,0.0,0.0,0.0,0.0,,,0,221.0,0.0,410.0,230.0,0.0,640.0,8,4,221.0,160.0,146.0,130.0,204.0,0.0,0.0,PM,Државни факултет,204.0
1825,1826.0,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,2313,Дизајн видео игара,Дипломирани дизајнер медија у образовању,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,125000.0,1500.0,240,612-00-00907/2017-06,2017-10-13,20.0,,,,,,,,,,,,,,,,,,,0,20.0,0.0,0.0,0.0,0.0,0.0,8,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,IMT,Државни факултет,0.0
1828,1829.0,258,Универзитет у Нишу,Пољопривредни факултет у Крушевцу,Државни факултет,2336,Воћарство и виноградарство,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,75000.0,1200.0,240,612-00-01824/2018-06,2018-10-05,25.0,25.0,,,,,,1.0,,,,,,0.0,,,,,,0,39.0,0.0,25.0,1.0,0.0,26.0,8,4,39.0,26.0,0.0,0.0,0.0,0.0,0.0,TT,Државни факултет,0.0
1829,1830.0,258,Универзитет у Нишу,Пољопривредни факултет у Крушевцу,Државни факултет,2337,Сточарство,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,75000.0,1200.0,240,612-00-01824/2018-06,2018-10-05,25.0,13.0,,,,,,0.0,,,,,,0.0,,,,,,0,14.0,0.0,13.0,0.0,0.0,13.0,8,4,14.0,13.0,0.0,0.0,0.0,0.0,0.0,TT,Државни факултет,0.0
1830,1831.0,258,Универзитет у Нишу,Пољопривредни факултет у Крушевцу,Државни факултет,2338,Ратарство и повртарство,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,75000.0,1200.0,240,612-00-01824/2018-06,2018-10-05,25.0,14.0,,,,,,0.0,,,,,,0.0,,,,,,0,3.0,0.0,14.0,0.0,0.0,14.0,8,4,3.0,14.0,0.0,0.0,0.0,0.0,0.0,TT,Државни факултет,0.0
1838,1839.0,64,Универзитет у Новом Саду,"Грађевински факултет, Суботица",Државни факултет,2372,"Геодезија (2017, ОАС)",Дипломирани инжењер геодезије,Техничко-технолошке науке,Основне академске,72000.0,1500.0,240,142-022-765/2017-02,2017-10-25,30.0,20.0,2.0,2.0,18.0,,,2.0,3.0,1.0,1.0,,,0.0,0.0,0.0,0.0,,,0,22.0,0.0,42.0,7.0,0.0,49.0,8,4,22.0,22.0,5.0,3.0,19.0,0.0,0.0,TT,Државни факултет,19.0
1840,1841.0,23,Универзитет у Београду,Правни факултет,Државни факултет,2375,Основне академске стдује - ОАС 240 ЕСПБ,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,95000.0,2100.0,240,612-00-01192/2013-04,2014-02-14,1500.0,608.0,584.0,523.0,747.0,,,655.0,954.0,1135.0,1823.0,,,5.0,4.0,6.0,7.0,,,736,1187.0,85.0,2462.0,4567.0,22.0,7051.0,8,4,1272.0,1268.0,1542.0,1664.0,2577.0,0.0,0.0,DH,Државни факултет,2577.0
1841,1842.0,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,2376,ОАС Немачког језика и књижевности,Дипломирани филолог,Друштвено-хуманистичке науке,Основне академске,78000.0,660.0,240,612-00-00053/5/2018-03,2018-11-01,30.0,5.0,,,,,,23.0,,,,,,0.0,,,,,,0,0.0,32.0,5.0,23.0,0.0,28.0,8,4,32.0,28.0,0.0,0.0,0.0,0.0,0.0,DH,Државни факултет,0.0
1875,1876.0,140,,Висока школа струковних студија за образовање васпитача - Вршац,Државна висока школа,2273,"Васпитач деце предшколског узраста на српском,румунском и ромском језику",Струковни васпитач,Друштвено-хуманистичке науке,Основне академске,60000.0,500.0,180,612-00-02297/2015-06,2016-06-17,150.0,54.0,,,,,,6.0,,,,,,0.0,0.0,,,,,0,33.0,21.0,54.0,6.0,0.0,60.0,6,3,54.0,60.0,0.0,0.0,0.0,0.0,0.0,DH,,0.0
1895,1896.0,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2186,Англистика,Дипломирани инжењер софтвера,Друштвено-хуманистичке науке,Основне академске,180000.0,0.0,240,612-00-00456/2016-06,2016-05-31,90.0,,,,,,,,,,,,,,,,,,,0,92.0,4.0,0.0,0.0,0.0,0.0,8,4,96.0,0.0,0.0,0.0,0.0,0.0,0.0,DH,Приватни факултет,0.0
