Naziv ustanove,Univerzitet,Nivo,Zvanje,Dužina trajanja programa (u god),Polje_skraceno,Vlasnistvo,Akreditaciona kvota,Broj studenata,Broj prijavljenih kandidata,Broj svršenih studenata tokom prethodne školske godine,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata na zavrsnoj godini
"Fakultet za mašinstvo i građevinarstvo, Kraljevo",Univerzitet u Kragujevcu,Osnovne akademske,Inženjer građevinarstva,3,TT,Državni fakultet,60.0,195.0,50.0,10.0,52.0,47.0,96.0,0.0,0.0,0.0,110.0,85.0,0.0,96.0
Fakultet za menadžment u sportu - Beograd,Univerzitet Alfa BK,Osnovne akademske,Diplomirani menadžer,4,DH,Privatni fakultet,90.0,139.0,17.0,28.0,34.0,24.0,57.0,24.0,0.0,0.0,0.0,139.0,0.0,24.0
Fakultet za menadžment- Zaječar,Univerzitet Megatrend,Osnovne akademske,Diplomirani ekonomista,4,DH,Privatni fakultet,0.0,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0
Fakultet za menadžment- Zaječar,Univerzitet Megatrend,Osnovne akademske,Diplomirani menadžer,4,DH,Privatni fakultet,0.0,65.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
Fakultet za međunarodnu ekonomiju - Beograd,Univerzitet Megatrend,Osnovne akademske,Diplomirani ekonomista,4,DH,Privatni fakultet,0.0,284.0,0.0,52.0,114.0,61.0,39.0,70.0,0.0,0.0,0.0,284.0,0.0,70.0
Fakultet za međunarodnu politiku i bezbednost - Beograd,Univerzitet Union - Nikola Tesla,Osnovne akademske,Diplomirani politikolog za međunarodne poslove,4,DH,Privatni fakultet,0.0,43.0,0.0,0.0,12.0,5.0,7.0,19.0,0.0,0.0,0.0,43.0,0.0,19.0
Fakultet za poslovne studije - Beograd,Univerzitet Megatrend,Osnovne akademske,Diplomirani ekonomista,4,DH,Privatni fakultet,0.0,878.0,0.0,297.0,153.0,180.0,150.0,395.0,0.0,0.0,0.0,878.0,0.0,395.0
"Fakultet za pravo, javnu upravu i bezbednost- Beograd",Univerzitet Megatrend,Osnovne akademske,Diplomirani pravnik unutrašnjih poslova,4,DH,Privatni fakultet,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fakultet za primenjenu ekologiju (FUTURA),Univerzitet Singidunum,Osnovne akademske,Diplomirani analitičar zaštite životne sredine,4,IMT,Privatni fakultet,40.0,14.0,7.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Fakultet za primenjenu ekologiju (FUTURA),Univerzitet Singidunum,Osnovne akademske,Diplomirani analitičar zaštite životne sredine,4,PM,Privatni fakultet,40.0,152.0,37.0,67.0,35.0,37.0,40.0,40.0,0.0,0.0,0.0,151.0,1.0,40.0
Fakultet za projektni i inovacioni menadžment - Beograd,Univerzitet Edukons,Osnovne akademske,Menadžer,3,DH,Privatni fakultet,0.0,10.0,0.0,43.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Fakultet za specijalnu edukaciju i rehabilitaciju,Univerzitet u Beogradu,Osnovne akademske,Diplomirani defektolog,4,DH,Državni fakultet,280.0,1240.0,397.0,233.0,292.0,305.0,295.0,348.0,0.0,0.0,844.0,396.0,0.0,348.0
Fakultet za sport i turizam (TIMS) - Novi Sad,Univerzitet Edukons,Osnovne akademske,Diplomirani menadžer,4,DH,Privatni fakultet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fakultet za sport i turizam (TIMS) - Novi Sad,Univerzitet Edukons,Osnovne akademske,Diplomirani profesor fizičkog vaspitanja i sporta (društveno-humanističke nauke),4,DH,Privatni fakultet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fakultet za sport i turizam (TIMS) - Novi Sad,Univerzitet Edukons,Osnovne akademske,Diplomirani psiholog,4,DH,Privatni fakultet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fakultet za sport i fizičko vaspitanje, Leposavić",Univerzitet u Prištini,Osnovne akademske,Diplomirani profesor fizičkog vaspitanja i sporta (biomedicinske nauke),4,DH,Državni fakultet,120.0,462.0,121.0,140.0,120.0,116.0,114.0,112.0,0.0,0.0,423.0,39.0,0.0,112.0
Fakultet za umetnost i dizajn - Beograd,Univerzitet Megatrend,Osnovne akademske,Diplomirani dizajner,4,UM,Privatni fakultet,0.0,81.0,0.0,30.0,21.0,20.0,20.0,20.0,0.0,0.0,0.0,81.0,0.0,20.0
Fakultet za fizičku kulturu i menadžment u sportu,Univerzitet Singidunum,Osnovne akademske,Diplomirani menadžer,4,DH,Privatni fakultet,0.0,25.0,0.0,0.0,17.0,6.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,2.0
Fakultet za fizičku kulturu i menadžment u sportu,Univerzitet Singidunum,Osnovne akademske,Diplomirani profesor fizičkog vaspitanja i sporta (društveno-humanističke nauke),4,DH,Privatni fakultet,0.0,83.0,0.0,0.0,32.0,14.0,9.0,28.0,0.0,0.0,0.0,83.0,0.0,28.0
Fakultet za fizičku hemiju,Univerzitet u Beogradu,Osnovne akademske,Diplomirani fizikohemičar,4,PM,Državni fakultet,100.0,418.0,96.0,34.0,121.0,100.0,87.0,110.0,0.0,0.0,176.0,242.0,0.0,110.0
"Fakultet za hotelijerstvo i turizam, Vrnjačka Banja",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani menadžer,4,DH,Državni fakultet,200.0,436.0,215.0,77.0,154.0,106.0,97.0,79.0,0.0,0.0,306.0,127.0,3.0,79.0
Fakultet zaštite na radu,Univerzitet u Nišu,Osnovne akademske,Diplomirani inženjer zaštite životne sredine,4,TT,Državni fakultet,360.0,929.0,170.0,106.0,172.0,106.0,133.0,518.0,0.0,0.0,495.0,434.0,0.0,518.0
Fakultet inženjerskih nauka,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer elektrotehnike i računarstva,4,TT,Državni fakultet,60.0,172.0,135.0,0.0,64.0,54.0,26.0,28.0,0.0,0.0,144.0,28.0,0.0,28.0
Fakultet inženjerskih nauka,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer industrijskog inženjerstva,4,TT,Državni fakultet,40.0,164.0,40.0,18.0,39.0,34.0,21.0,70.0,0.0,0.0,113.0,51.0,0.0,70.0
Fakultet inženjerskih nauka,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer urbanizma,4,IMT,Državni fakultet,40.0,100.0,19.0,6.0,18.0,19.0,17.0,46.0,0.0,0.0,68.0,32.0,0.0,46.0
Fakultet inženjerskih nauka,Univerzitet u Kragujevcu,Osnovne akademske,Inženjer mašinstva,3,TT,Državni fakultet,280.0,740.0,213.0,106.0,251.0,142.0,347.0,0.0,0.0,0.0,407.0,333.0,0.0,347.0
Fakultet likovnih umetnosti,Univerzitet umetnosti u Beogradu,Osnovne akademske,Diplomirani likovni umetnik,4,UM,Državni fakultet,55.0,222.0,88.0,46.0,55.0,58.0,53.0,56.0,0.0,0.0,178.0,43.0,1.0,56.0
Fakultet medicinskih nauka,Univerzitet u Kragujevcu,Integr. akademske,Doktor medicine,6,MD,Državni fakultet,88.0,789.0,536.0,126.0,91.0,88.0,94.0,115.0,96.0,305.0,591.0,193.0,5.0,305.0
Fakultet medicinskih nauka,Univerzitet u Kragujevcu,Integr. akademske,Doktor stomatologije,5,MD,Državni fakultet,24.0,127.0,84.0,24.0,25.0,26.0,26.0,24.0,26.0,0.0,124.0,3.0,0.0,26.0
Fakultet medicinskih nauka,Univerzitet u Kragujevcu,Integr. akademske,Magistar farmacije,5,MD,Državni fakultet,84.0,423.0,158.0,87.0,85.0,82.0,84.0,81.0,91.0,0.0,410.0,13.0,0.0,91.0
Fakultet muzičke umetnosti,Univerzitet umetnosti u Beogradu,Osnovne akademske,Diplomirani kompozitor,4,UM,Državni fakultet,4.0,17.0,6.0,3.0,3.0,5.0,2.0,7.0,0.0,0.0,11.0,6.0,0.0,7.0
Fakultet muzičke umetnosti,Univerzitet umetnosti u Beogradu,Osnovne akademske,Diplomirani muzički umetnik,4,UM,Državni fakultet,84.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fakultet muzičke umetnosti,Univerzitet umetnosti u Beogradu,Osnovne akademske,Diplomirani teoretičar umetnosti,4,DH,Državni fakultet,52.0,0.0,61.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fakultet organizacionih nauka,Univerzitet u Beogradu,Osnovne akademske,Diplomirani inženjer organizacionih nauka,4,TT,Državni fakultet,1560.0,4351.0,4963.0,705.0,1100.0,878.0,783.0,1590.0,0.0,0.0,1910.0,2428.0,13.0,1590.0
"Fakultet pedagoških nauka, Jagodina",Univerzitet u Kragujevcu,Osnovne akademske,Vaspitač,3,DH,Državni fakultet,30.0,76.0,17.0,14.0,22.0,25.0,29.0,0.0,0.0,0.0,54.0,22.0,0.0,29.0
"Fakultet pedagoških nauka, Jagodina",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani vaspitač,4,DH,Državni fakultet,90.0,317.0,83.0,40.0,77.0,78.0,89.0,73.0,0.0,0.0,222.0,95.0,0.0,73.0
"Fakultet pedagoških nauka, Jagodina",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani učitelj,4,DH,Državni fakultet,90.0,334.0,70.0,61.0,74.0,84.0,90.0,86.0,0.0,0.0,294.0,40.0,0.0,86.0
Fakultet političkih nauka,Univerzitet u Beogradu,Osnovne akademske,Diplomirani novinar/žurnalista,4,DH,Državni fakultet,160.0,705.0,188.0,106.0,161.0,152.0,143.0,139.0,110.0,0.0,289.0,415.0,1.0,139.0
Fakultet političkih nauka,Univerzitet u Beogradu,Osnovne akademske,Diplomirani politikolog,4,DH,Državni fakultet,100.0,412.0,193.0,77.0,100.0,93.0,81.0,85.0,53.0,0.0,174.0,238.0,0.0,85.0
Fakultet političkih nauka,Univerzitet u Beogradu,Osnovne akademske,Diplomirani politikolog za međunarodne poslove,4,DH,Državni fakultet,140.0,627.0,243.0,116.0,144.0,140.0,134.0,129.0,80.0,0.0,207.0,410.0,10.0,129.0
Fakultet političkih nauka,Univerzitet u Beogradu,Osnovne akademske,Diplomirani socijalni radnik,4,DH,Državni fakultet,100.0,454.0,111.0,103.0,100.0,98.0,91.0,95.0,70.0,0.0,182.0,271.0,1.0,95.0
Fakultet primenjenih umetnosti,Univerzitet umetnosti u Beogradu,Osnovne akademske,Diplomirani dizajner,4,UM,Državni fakultet,49.0,188.0,109.0,37.0,48.0,51.0,45.0,44.0,0.0,0.0,132.0,55.0,1.0,44.0
Fakultet primenjenih umetnosti,Univerzitet umetnosti u Beogradu,Osnovne akademske,Diplomirani konzervator i restaurator,4,UM,Državni fakultet,14.0,53.0,10.0,12.0,14.0,14.0,12.0,13.0,0.0,0.0,44.0,9.0,0.0,13.0
Fakultet primenjenih umetnosti,Univerzitet umetnosti u Beogradu,Osnovne akademske,Diplomirani primenjeni umetnik,4,UM,Državni fakultet,82.0,322.0,126.0,58.0,83.0,88.0,73.0,78.0,0.0,0.0,235.0,87.0,0.0,78.0
Fakultet sporta i fizičkog vaspitanja,Univerzitet u Beogradu,Osnovne akademske,Diplomirani profesor sporta,4,DH,Državni fakultet,0.0,17.0,0.0,20.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,17.0
Fakultet sporta i fizičkog vaspitanja,Univerzitet u Beogradu,Osnovne akademske,Diplomirani profesor fizičkog vaspitanja,4,DH,Državni fakultet,0.0,27.0,0.0,29.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,27.0
Fakultet sporta i fizičkog vaspitanja,Univerzitet u Beogradu,Osnovne akademske,Diplomirani profesor fizičkog vaspitanja i sporta (biomedicinske nauke),4,DH,Državni fakultet,160.0,896.0,275.0,68.0,173.0,168.0,145.0,410.0,0.0,0.0,491.0,402.0,3.0,410.0
Fakultet sporta i fizičkog vaspitanja,Univerzitet u Nišu,Osnovne akademske,Diplomirani profesor fizičkog vaspitanja i sporta (biomedicinske nauke),4,DH,Državni fakultet,195.0,911.0,169.0,121.0,201.0,192.0,186.0,332.0,0.0,0.0,694.0,217.0,0.0,332.0
Fakultet sporta i fizičkog vaspitanja,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani profesor fizičkog vaspitanja i kineziterapije,4,DH,Državni fakultet,250.0,829.0,266.0,127.0,206.0,210.0,173.0,240.0,0.0,0.0,513.0,311.0,5.0,240.0
Fakultet sporta i fizičkog vaspitanja,Univerzitet u Novom Sadu,Osnovne akademske,Profesor fizičkog vaspitanja i kineziterapije,3,DH,Državni fakultet,100.0,135.0,31.0,0.0,52.0,38.0,45.0,0.0,0.0,0.0,88.0,47.0,0.0,45.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer arhitekture (tehničke nauke),4,TT,Državni fakultet,120.0,698.0,223.0,111.0,131.0,125.0,121.0,321.0,0.0,0.0,376.0,321.0,1.0,321.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer geodezije,4,TT,Državni fakultet,90.0,355.0,41.0,48.0,57.0,69.0,65.0,164.0,0.0,0.0,192.0,162.0,1.0,164.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer grafičkog inženjerstva i dizajna,4,IMT,Državni fakultet,90.0,561.0,211.0,65.0,93.0,92.0,95.0,281.0,0.0,0.0,317.0,244.0,0.0,281.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer građevinarstva,4,TT,Državni fakultet,180.0,770.0,105.0,86.0,162.0,80.0,104.0,424.0,0.0,0.0,265.0,503.0,2.0,424.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer elektrotehnike i računarstva,4,TT,Državni fakultet,880.0,3970.0,1197.0,303.0,1032.0,777.0,791.0,1370.0,0.0,0.0,2390.0,1580.0,0.0,1370.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer energetskih tehnologija,4,IMT,Državni fakultet,60.0,132.0,15.0,0.0,27.0,29.0,27.0,49.0,0.0,0.0,86.0,45.0,1.0,49.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer zaštite životne sredine,4,TT,Državni fakultet,90.0,351.0,31.0,56.0,80.0,44.0,41.0,186.0,0.0,0.0,166.0,185.0,0.0,186.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer zaštite na radu,4,TT,Državni fakultet,40.0,170.0,21.0,16.0,39.0,25.0,22.0,84.0,0.0,0.0,98.0,72.0,0.0,84.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer zaštite od katastrofalnih događaja i požara,4,IMT,Državni fakultet,40.0,155.0,7.0,9.0,26.0,21.0,26.0,82.0,0.0,0.0,109.0,46.0,0.0,82.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer industrijskog inženjerstva,4,TT,Državni fakultet,80.0,326.0,61.0,20.0,98.0,68.0,53.0,107.0,0.0,0.0,177.0,149.0,0.0,107.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer informacionih tehnologija,4,IMT,Državni fakultet,140.0,422.0,162.0,0.0,144.0,128.0,76.0,74.0,0.0,0.0,337.0,85.0,0.0,74.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer mašinstva,4,TT,Državni fakultet,250.0,843.0,139.0,71.0,231.0,147.0,125.0,340.0,0.0,0.0,458.0,384.0,1.0,340.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer menadžmenta,4,TT,Državni fakultet,180.0,882.0,194.0,108.0,221.0,152.0,147.0,362.0,0.0,0.0,470.0,410.0,2.0,362.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer mehatronike,4,IMT,Državni fakultet,90.0,438.0,122.0,36.0,126.0,91.0,67.0,154.0,0.0,0.0,234.0,203.0,1.0,154.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer računarske grafike,4,IMT,Državni fakultet,60.0,341.0,121.0,12.0,66.0,69.0,54.0,152.0,0.0,0.0,199.0,142.0,0.0,152.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer saobraćaja,4,TT,Državni fakultet,180.0,860.0,110.0,98.0,181.0,129.0,142.0,408.0,0.0,0.0,389.0,471.0,0.0,408.0
Fakultet tehničkih nauka,Univerzitet u Novom Sadu,Osnovne akademske,"Diplomirani inženjer scenske arhitekture, tehnike i dizajna",4,IMT,Državni fakultet,24.0,93.0,21.0,7.0,24.0,24.0,17.0,28.0,0.0,0.0,72.0,20.0,1.0,28.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer arhitekture (tehničke nauke),4,TT,Državni fakultet,40.0,77.0,19.0,0.0,39.0,38.0,0.0,0.0,0.0,0.0,71.0,6.0,0.0,0.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer građevinarstva,4,TT,Državni fakultet,30.0,52.0,5.0,0.0,30.0,22.0,0.0,0.0,0.0,0.0,46.0,6.0,0.0,0.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer elektrotehnike i računarstva,4,TT,Državni fakultet,80.0,216.0,36.0,12.0,53.0,44.0,67.0,52.0,0.0,0.0,194.0,22.0,0.0,52.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer zaštite životne sredine,4,TT,Državni fakultet,24.0,115.0,6.0,0.0,37.0,31.0,47.0,0.0,0.0,0.0,98.0,17.0,0.0,0.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer zaštite na radu,4,TT,Državni fakultet,18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer industrijskog inženjerstva,4,TT,Državni fakultet,30.0,49.0,26.0,0.0,30.0,19.0,0.0,0.0,0.0,0.0,44.0,5.0,0.0,0.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer mašinstva,4,TT,Državni fakultet,60.0,51.0,22.0,0.0,36.0,15.0,0.0,0.0,0.0,0.0,44.0,7.0,0.0,0.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer rudarstva,4,TT,Državni fakultet,16.0,27.0,7.0,0.0,10.0,15.0,2.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0
"Fakultet tehničkih nauka, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani inženjer tehnologije,4,TT,Državni fakultet,32.0,73.0,6.0,3.0,27.0,21.0,25.0,0.0,0.0,0.0,63.0,10.0,0.0,0.0
"Fakultet tehničkih nauka, Čačak",Univerzitet u Kragujevcu,Integr. akademske,Master profesor tehnike i informatike,5,IMT,Državni fakultet,30.0,84.0,13.0,28.0,15.0,11.0,10.0,10.0,38.0,0.0,43.0,41.0,0.0,38.0
"Fakultet tehničkih nauka, Čačak",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer elektrotehnike i računarstva,4,TT,Državni fakultet,80.0,298.0,60.0,38.0,59.0,37.0,50.0,152.0,0.0,0.0,161.0,136.0,1.0,152.0
"Fakultet tehničkih nauka, Čačak",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer informacionih tehnologija,4,IMT,Državni fakultet,130.0,472.0,191.0,34.0,140.0,112.0,86.0,134.0,0.0,0.0,354.0,118.0,0.0,134.0
"Fakultet tehničkih nauka, Čačak",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer menadžmenta,4,TT,Državni fakultet,30.0,131.0,26.0,13.0,25.0,21.0,30.0,55.0,0.0,0.0,110.0,21.0,0.0,55.0
"Fakultet tehničkih nauka, Čačak",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer mehatronike,4,IMT,Državni fakultet,30.0,73.0,31.0,11.0,28.0,12.0,11.0,22.0,0.0,0.0,42.0,31.0,0.0,22.0
"Fakultet tehničkih nauka, Čačak",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani menadžer,4,DH,Državni fakultet,45.0,104.0,23.0,23.0,21.0,12.0,18.0,53.0,0.0,0.0,71.0,33.0,0.0,53.0
Fakultet umetnosti,Univerzitet u Nišu,Osnovne akademske,Diplomirani dizajner,4,UM,Državni fakultet,10.0,39.0,20.0,14.0,10.0,10.0,8.0,11.0,0.0,0.0,29.0,10.0,0.0,11.0
Fakultet umetnosti,Univerzitet u Nišu,Osnovne akademske,Diplomirani likovni umetnik,4,UM,Državni fakultet,10.0,39.0,10.0,9.0,10.0,10.0,10.0,9.0,0.0,0.0,30.0,9.0,0.0,9.0
Fakultet umetnosti,Univerzitet u Nišu,Osnovne akademske,Diplomirani muzički umetnik,4,UM,Državni fakultet,26.0,105.0,37.0,21.0,26.0,24.0,29.0,26.0,0.0,0.0,95.0,10.0,0.0,26.0
Fakultet umetnosti,Univerzitet u Nišu,Osnovne akademske,Diplomirani teoretičar umetnosti,4,DH,Državni fakultet,20.0,64.0,12.0,1.0,11.0,19.0,11.0,23.0,0.0,0.0,56.0,8.0,0.0,23.0
"Fakultet umetnosti, Zvečan",Univerzitet u Prištini,Osnovne akademske,Diplomirani dizajner,4,UM,Državni fakultet,6.0,21.0,9.0,4.0,6.0,8.0,3.0,4.0,0.0,0.0,15.0,6.0,0.0,4.0
"Fakultet umetnosti, Zvečan",Univerzitet u Prištini,Osnovne akademske,Diplomirani dramski i audiovizuelni umetnik,4,UM,Državni fakultet,8.0,35.0,17.0,11.0,8.0,8.0,9.0,10.0,0.0,0.0,30.0,5.0,0.0,10.0
"Fakultet umetnosti, Zvečan",Univerzitet u Prištini,Osnovne akademske,Diplomirani likovni umetnik,4,UM,Državni fakultet,14.0,38.0,8.0,13.0,7.0,9.0,6.0,16.0,0.0,0.0,31.0,7.0,0.0,16.0
"Fakultet umetnosti, Zvečan",Univerzitet u Prištini,Osnovne akademske,Diplomirani muzički umetnik,4,UM,Državni fakultet,14.0,24.0,9.0,9.0,7.0,8.0,4.0,5.0,0.0,0.0,17.0,7.0,0.0,5.0
"Fakultet umetnosti, Zvečan",Univerzitet u Prištini,Osnovne akademske,Diplomirani teoretičar umetnosti,4,DH,Državni fakultet,12.0,50.0,5.0,10.0,9.0,2.0,9.0,30.0,0.0,0.0,27.0,23.0,0.0,30.0
Farmaceutski fakultet,Univerzitet u Beogradu,Integr. akademske,Magistar farmacije,5,MD,Državni fakultet,252.0,1658.0,393.0,206.0,284.0,321.0,325.0,269.0,459.0,0.0,979.0,662.0,17.0,459.0
Farmaceutski fakultet,Univerzitet u Beogradu,Integr. akademske,Magistar farmacije medicinski biohemičar,5,MD,Državni fakultet,72.0,480.0,356.0,58.0,81.0,95.0,91.0,73.0,140.0,0.0,263.0,213.0,4.0,140.0
Fizički fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani meteorolog,4,PM,Državni fakultet,40.0,83.0,70.0,3.0,18.0,14.0,34.0,17.0,0.0,0.0,26.0,57.0,0.0,17.0
Fizički fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani fizičar,4,PM,Državni fakultet,125.0,401.0,222.0,16.0,129.0,53.0,107.0,112.0,0.0,0.0,200.0,201.0,0.0,112.0
Fizički fakultet,Univerzitet u Beogradu,Osnovne akademske,Fizičar,3,PM,Državni fakultet,0.0,30.0,0.0,6.0,0.0,1.0,29.0,0.0,0.0,0.0,2.0,28.0,0.0,29.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani andragog,4,DH,Državni fakultet,30.0,178.0,44.0,27.0,33.0,40.0,31.0,74.0,0.0,0.0,109.0,69.0,0.0,74.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani arheolog,4,DH,Državni fakultet,62.0,327.0,30.0,45.0,48.0,52.0,58.0,169.0,0.0,0.0,149.0,178.0,0.0,169.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani etnolog-antropolog,4,DH,Državni fakultet,55.0,262.0,35.0,27.0,63.0,48.0,42.0,109.0,0.0,0.0,166.0,94.0,2.0,109.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani istoričar,4,DH,Državni fakultet,120.0,570.0,106.0,66.0,114.0,102.0,109.0,245.0,0.0,0.0,274.0,295.0,1.0,245.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani istoričar umetnosti,4,DH,Državni fakultet,90.0,438.0,42.0,51.0,78.0,76.0,77.0,207.0,0.0,0.0,221.0,217.0,0.0,207.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani klasični filolog,4,DH,Državni fakultet,30.0,62.0,4.0,4.0,20.0,8.0,14.0,20.0,0.0,0.0,31.0,31.0,0.0,20.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani pedagog,4,DH,Državni fakultet,60.0,271.0,42.0,53.0,62.0,51.0,56.0,102.0,0.0,0.0,207.0,64.0,0.0,102.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani psiholog,4,DH,Državni fakultet,88.0,563.0,466.0,73.0,95.0,106.0,105.0,257.0,0.0,0.0,343.0,219.0,1.0,257.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani sociolog,4,DH,Državni fakultet,100.0,571.0,69.0,67.0,102.0,98.0,94.0,277.0,0.0,0.0,296.0,275.0,0.0,277.0
Filozofski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani filozof,4,DH,Državni fakultet,70.0,315.0,41.0,47.0,73.0,64.0,45.0,133.0,0.0,0.0,164.0,151.0,0.0,133.0
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani istoričar,4,DH,Državni fakultet,50.0,246.0,39.0,27.0,49.0,19.0,28.0,150.0,0.0,0.0,92.0,154.0,0.0,150.0
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani komunikolog,4,DH,Državni fakultet,50.0,218.0,56.0,28.0,53.0,46.0,46.0,73.0,0.0,0.0,164.0,54.0,0.0,73.0
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani novinar/žurnalista,4,DH,Državni fakultet,50.0,269.0,39.0,33.0,52.0,44.0,39.0,134.0,0.0,0.0,146.0,123.0,0.0,134.0
