Naziv ustanove,Univerzitet,Nivo,Zvanje,Dužina trajanja programa (u god),Polje_skraceno,Vlasnistvo,Akreditaciona kvota,Broj studenata,Broj prijavljenih kandidata,Broj svršenih studenata tokom prethodne školske godine,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata na zavrsnoj godini
Departman za matematičke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani matematičar,4,PM,Državni fakultet,75.0,199.0,104.0,5.0,82.0,49.0,31.0,37.0,0.0,0.0,119.0,76.0,4.0,37.0
Departman za matematičke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani profesor informatike i matematike,4,PM,Državni fakultet,100.0,199.0,37.0,1.0,89.0,43.0,26.0,41.0,0.0,0.0,118.0,81.0,0.0,41.0
Departman za matematičke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani profesor informatike i fizike,4,PM,Državni fakultet,0.0,61.0,0.0,1.0,0.0,0.0,24.0,37.0,0.0,0.0,28.0,33.0,0.0,37.0
Departman za matematičke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani profesor matematike i fizike,4,PM,Državni fakultet,70.0,178.0,62.0,2.0,54.0,50.0,26.0,48.0,0.0,0.0,101.0,77.0,0.0,48.0
Departman za pravne nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani pravnik,4,DH,Državni fakultet,100.0,603.0,57.0,7.0,146.0,157.0,153.0,147.0,0.0,0.0,278.0,318.0,7.0,147.0
Departman za tehničke nauke,Državni Univerzitet u Novom Pazaru,Integr. akademske,Master inženjer arhitekture,5,TT,Državni fakultet,30.0,30.0,59.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
Departman za tehničke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani inženjer arhitekture (tehničke nauke),4,TT,Državni fakultet,0.0,155.0,0.0,19.0,45.0,41.0,34.0,35.0,0.0,0.0,81.0,68.0,6.0,35.0
Departman za tehničke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani inženjer građevinarstva,4,TT,Državni fakultet,40.0,173.0,53.0,6.0,52.0,47.0,38.0,36.0,0.0,0.0,93.0,77.0,3.0,36.0
Departman za tehničke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani inženjer elektrotehnike i računarstva,4,TT,Državni fakultet,215.0,299.0,171.0,5.0,123.0,74.0,48.0,54.0,0.0,0.0,190.0,108.0,1.0,54.0
Departman za umetnost,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani likovni umetnik,4,UM,Državni fakultet,5.0,21.0,9.0,1.0,5.0,5.0,5.0,6.0,0.0,0.0,21.0,0.0,0.0,6.0
Departman za filozofske nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani vaspitač,4,DH,Državni fakultet,40.0,113.0,66.0,0.0,48.0,34.0,31.0,0.0,0.0,0.0,53.0,60.0,0.0,0.0
Departman za filozofske nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani psiholog,4,DH,Državni fakultet,30.0,109.0,53.0,6.0,0.0,25.0,37.0,47.0,0.0,0.0,50.0,59.0,0.0,47.0
Departman za filološke nauke,Državni Univerzitet u Novom Pazaru,Integr. akademske,Master filolog,5,DH,Državni fakultet,35.0,35.0,35.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0
Departman za filološke nauke,Državni Univerzitet u Novom Pazaru,Integr. akademske,Master filolog - anglista,5,DH,Državni fakultet,30.0,30.0,56.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
Departman za filološke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani filolog engleskog jezika i književnosti,4,DH,Državni fakultet,0.0,166.0,0.0,8.0,58.0,43.0,39.0,26.0,0.0,0.0,64.0,102.0,0.0,26.0
Departman za filološke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani filolog srpske književnosti i jezika,4,DH,Državni fakultet,0.0,174.0,0.0,18.0,59.0,51.0,39.0,25.0,0.0,0.0,84.0,89.0,1.0,25.0
Departman hemijsko-tehnološke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani inženjer poljoprivrede,4,TT,Državni fakultet,0.0,194.0,0.0,2.0,63.0,52.0,41.0,38.0,0.0,0.0,98.0,96.0,0.0,38.0
Departman hemijsko-tehnološke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani inženjer tehnologije,4,TT,Državni fakultet,0.0,205.0,0.0,1.0,72.0,55.0,39.0,39.0,0.0,0.0,102.0,101.0,2.0,39.0
