"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"2340.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Службеник осигурања - оглед","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","24","16","0","0","0"
"2341.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Комерцијалиста","4","Српски језик","1","0","0","30","15","0","0","0","1","0","0","30","16","0","0","0","1","0","0","30","17","0","0","0","1","0","0","28","16","0","0","0"
"2342.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Службеник у банкарству и осигурању","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","30","15","0","0","0","0","0","0","0","0","0","0","0"
"2343.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Текстилство и кожарство","Техничар моделар коже","4","Босански језик","0","0","0","0","0","0","0","0","1","0","0","26","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2344.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Геодезија и грађевинарство","Архитектонски техничар - преведен оглед","4","Босански језик","1","0","0","30","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2345.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Текстилство и кожарство","Модни кројач","3","Босански језик","1","0","0","28","11","0","0","0","1","0","0","16","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2346.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Текстилство и кожарство","Моделар одеће - образовни профил изашао из огледа","4","Босански језик","1","0","0","30","25","0","0","0","2","0","0","49","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2347.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Текстилство и кожарство","Техничар моделар коже","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","11","0","0","0","1","0","0","13","10","0","0","0"
"2348.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Геодезија и грађевинарство","Грађевински техничар за високоградњу","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","39","1","0","0","0"
"2349.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Култура, уметност и јавно информисање","Техничар дизајна графике","4","Српски језик","1","0","0","11","8","0","0","0","1","0","0","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
