"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"337.","1363","Државно","Јужнобанатски управни округ","Ковин","Средња стручна школа Васа Пелагић","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Српски језик","1","0","0","28","15","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"338.","1364","Државно","Јужнобанатски управни округ","Панчево - град","Гимназија Урош Предић","Гимназија","Природно - математички смер","4","Српски језик","4","0","0","120","72","0","0","0","4","0","0","117","65","0","0","0","4","0","0","120","60","0","0","0","4","0","0","115","61","0","0","0"
"339.","1364","Државно","Јужнобанатски управни округ","Панчево - град","Гимназија Урош Предић","Гимназија","Друштвено - језички смер гимназије","4","Српски језик","4","0","0","122","86","0","0","0","4","0","0","122","93","0","0","0","4","0","0","119","84","0","0","0","4","0","0","108","67","0","0","0"
"340.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Трговина, угоститељство и туризам","Туристички техничар","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","33","31","0","0","0","1","0","0","32","21","0","0","0","1","0","0","28","18","0","0","0"
"341.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Трговина, угоститељство и туризам","Конобар","3","Српски језик","1","1","0","17","6","0","0","0","1","0","0","18","5","0","0","0","1","1","0","11","1","0","0","0","0","0","0","0","0","0","0","0"
"342.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Трговина, угоститељство и туризам","Кувар","3","Српски језик","1","0","0","25","17","1","1","0","1","0","0","24","7","0","0","0","1","1","0","15","3","1","0","0","0","0","0","0","0","0","0","0"
"343.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Трговина, угоститељство и туризам","Посластичар","3","Српски језик","1","1","0","14","9","0","1","0","1","0","0","23","18","1","2","0","1","1","0","9","8","0","0","0","0","0","0","0","0","0","0","0"
"344.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Економија, право и администрација","Економски техничар","4","Српски језик","1","0","0","30","25","0","0","0","1","0","0","33","23","0","0","0","1","0","0","30","21","0","0","0","1","0","0","31","21","0","0","0"
"345.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Економија, право и администрација","Финансијски техничар","4","Српски језик","1","0","0","29","22","0","0","0","1","0","0","32","24","0","0","0","1","0","0","25","19","0","0","0","1","0","0","29","24","0","0","0"
"346.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Економија, право и администрација","Правни техничар","4","Српски језик","1","0","0","27","19","2","0","0","1","0","0","30","22","1","0","0","1","0","0","32","19","0","0","0","1","0","0","29","20","0","0","0"
"347.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Економија, право и администрација","Финансијски администратор","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","28","18","0","0","0","1","0","0","30","22","0","0","0"
"348.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Економија, право и администрација","Комерцијалиста","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","29","17","0","0","0"
"349.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Трговина, угоститељство и туризам","Трговац 16 2013","3","Српски језик","1","0","0","26","18","0","1","0","0","0","0","0","0","0","0","0","1","1","0","12","10","0","0","0","0","0","0","0","0","0","0","0"
"350.","1365","Државно","Јужнобанатски управни округ","Панчево - град","Економско-трговинска школа Паја Маргановић","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Српски језик","1","0","0","30","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"351.","1366","Државно","Јужнобанатски управни округ","Панчево - град","Медицинска школа Стевица Јовановић","Здравство и социјална заштита","Гинеколошко - акушерска сестра","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","29","29","0","0","0","1","0","0","30","28","0","0","0","0","0","0","0","0","0","0","0"
"352.","1366","Државно","Јужнобанатски управни округ","Панчево - град","Медицинска школа Стевица Јовановић","Здравство и социјална заштита","Медицинска сестра - васпитач","4","Српски језик","1","0","0","30","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31","31","0","0","0"
"353.","1366","Државно","Јужнобанатски управни округ","Панчево - град","Медицинска школа Стевица Јовановић","Здравство и социјална заштита","Здравствени неговатељ","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31","20","0","0","0","0","0","0","0","0","0","0","0"
"354.","1366","Државно","Јужнобанатски управни округ","Панчево - град","Медицинска школа Стевица Јовановић","Здравство и социјална заштита","Здравствени неговатељ - оглед","3","Српски језик","1","0","0","29","24","0","1","0","1","0","0","29","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"355.","1366","Државно","Јужнобанатски управни округ","Панчево - град","Медицинска школа Стевица Јовановић","Здравство и социјална заштита","Медицинска сестра - техничар - Нов наставни програм","4","Српски језик","3","0","0","91","69","0","0","0","3","0","0","95","68","0","0","0","3","0","0","92","66","0","0","0","3","0","0","90","59","0","0","0"
"356.","1367","Државно","Јужнобанатски управни округ","Панчево - град","Пољопривредна школа Јосиф Панчић","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Српски језик","1","0","0","24","7","0","1","0","1","0","0","16","4","0","0","0","1","0","0","25","9","0","0","0","1","0","0","22","6","0","2","0"
"357.","1367","Државно","Јужнобанатски управни округ","Панчево - град","Пољопривредна школа Јосиф Панчић","Пољопривреда, производња и прерада хране","Техничар пољопривредне технике","4","Српски језик","1","0","0","22","4","0","1","0","0","0","0","0","0","0","0","0","1","0","0","16","6","0","0","0","0","0","0","0","0","0","0","0"
"358.","1367","Државно","Јужнобанатски управни округ","Панчево - град","Пољопривредна школа Јосиф Панчић","Пољопривреда, производња и прерада хране","Ветеринарски техничар","4","Српски језик","1","0","0","31","15","0","0","0","1","0","0","26","20","0","0","0","1","0","0","18","10","1","0","0","2","0","0","45","26","0","2","0"
"359.","1367","Државно","Јужнобанатски управни округ","Панчево - град","Пољопривредна школа Јосиф Панчић","Пољопривреда, производња и прерада хране","Цвећар - вртлар","3","Српски језик","2","2","0","30","10","0","2","0","1","1","0","8","5","0","3","0","1","0","0","11","10","0","2","0","0","0","0","0","0","0","0","0"
"360.","1367","Државно","Јужнобанатски управни округ","Панчево - град","Пољопривредна школа Јосиф Панчић","Пољопривреда, производња и прерада хране","Техничар хортикултуре","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","16","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"361.","1367","Државно","Јужнобанатски управни округ","Панчево - град","Пољопривредна школа Јосиф Панчић","Пољопривреда, производња и прерада хране","Пољопривредни произвођач","3","Српски језик","0","0","0","0","0","0","0","0","1","1","0","12","5","0","0","0","1","0","0","16","3","0","1","0","0","0","0","0","0","0","0","0"
"362.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Машинство и обрада метала","Техничар за компјутерско управљање","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","28","5","0","0","0","1","0","0","26","2","0","0","0","1","0","0","14","2","0","0","0"
"363.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Српски језик","2","0","0","65","4","0","0","0","2","0","0","57","11","0","0","0","2","0","0","41","7","0","0","0","2","0","0","33","4","0","0","0"
"364.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Машинство и обрада метала","Аутомеханичар","3","Српски језик","1","0","0","27","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0"
"365.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Саобраћај","Техничар друмског саобраћаја","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","33","13","0","0","0","1","0","0","29","9","0","0","0","1","0","0","29","5","0","0","0"
"366.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Саобраћај","Возач моторних возила","3","Српски језик","0","0","0","0","0","0","0","0","1","0","0","30","1","0","0","0","1","0","0","19","1","0","0","0","0","0","0","0","0","0","0","0"
"367.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Машинство и обрада метала","Машински техничар моторних возила","4","Српски језик","1","0","0","33","0","0","0","0","1","0","0","27","0","0","1","0","1","0","0","25","0","0","0","0","1","0","0","29","2","0","0","0"
"368.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Електротехника","Техничар мехатронике","4","Српски језик","1","0","0","31","1","0","0","0","1","0","0","30","0","0","0","0","1","0","0","29","0","0","0","0","1","0","0","25","0","0","0","0"
"369.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Машинство и обрада метала","Оператер машинске обраде","3","Српски језик","1","1","0","14","0","0","1","0","1","1","0","15","0","0","0","0","1","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0"
"370.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Машинство и обрада метала","Бравар - заваривач","3","Српски језик","1","1","0","12","0","0","2","0","1","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"371.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Машинство и обрада метала","Механичар моторних возила","3","Српски језик","0","0","0","0","0","0","0","0","1","0","0","29","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"372.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Машинство и обрада метала","Техничар за компјутерско управљање (CNC) машина","4","Српски језик","1","0","0","34","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"373.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Саобраћај","Возач моторних возила (Нови ППНУ од 2018/19.)","3","Српски језик","1","0","0","28","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"374.","1368","Државно","Јужнобанатски управни округ","Панчево - град","Машинска школа Панчево","Саобраћај","Техничар друмског саобраћаја (Нови ППНУ од 2018/19.)","4","Српски језик","1","0","0","30","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"375.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Електротехничар енергетике","4","Српски језик","1","0","0","32","1","0","0","0","1","0","0","24","0","0","0","0","1","0","0","29","1","0","0","0","1","0","0","24","1","0","0","0"
"376.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Електромеханичар за термичке и расхладне уређаје","3","Српски језик","1","0","0","29","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"377.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Електротехничар процесног управљања","4","Српски језик","1","0","0","30","1","0","0","0","1","0","0","31","1","0","0","0","1","0","0","25","0","0","0","0","1","0","0","18","2","0","0","0"
"378.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Електротехничар мултимедија - оглед","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31","10","0","0","0"
"379.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Електротехничар мултимедија","4","Српски језик","1","0","0","31","5","0","0","0","1","0","0","31","12","1","0","0","1","0","0","27","3","0","0","0","0","0","0","0","0","0","0","0"
"380.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Електротехничар информационих технологија - оглед","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","23","6","0","0","0","1","0","0","22","2","1","0","0","1","0","0","24","3","1","0","0"
"381.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Електротехничар телекомуникација - преведени оглед","4","Српски језик","1","0","0","30","3","0","0","0","1","0","0","29","0","0","0","0","1","0","0","28","3","0","0","0","1","0","0","31","1","0","0","0"
"382.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Администратор рачунарских мрежа","4","Српски језик","1","0","0","30","4","0","0","0","1","0","0","30","4","0","0","0","1","0","0","30","1","0","0","0","1","0","0","22","1","0","0","0"
"383.","1369","Државно","Јужнобанатски управни округ","Панчево - град","Електротехничка школа Никола Тесла","Електротехника","Електротехничар информационих технологија","4","Српски језик","1","0","0","30","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"384.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Пољопривреда, производња и прерада хране","Прехрамбени техничар","4","Српски језик","1","0","0","35","25","0","0","0","1","0","0","32","26","0","0","0","1","0","0","26","21","0","0","0","1","0","0","20","13","0","0","0"
"385.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Пољопривреда, производња и прерада хране","Месар","3","Српски језик","1","1","0","16","2","0","0","0","1","1","0","14","5","0","0","0","1","1","0","11","4","0","0","0","0","0","0","0","0","0","0","0"
"386.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Пољопривреда, производња и прерада хране","Пекар","3","Српски језик","1","1","0","10","4","1","2","0","1","1","0","11","5","3","0","0","1","1","0","13","3","1","0","0","0","0","0","0","0","0","0","0"
"387.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Хемија, неметали и графичарство","Техничар припреме графичке производње","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31","16","1","0","0","1","0","0","28","18","0","0","0"
"388.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Геодезија и грађевинарство","Геодетски техничар - геометар","4","Српски језик","1","0","0","29","17","0","0","0","1","0","0","33","14","0","0","0","1","0","0","23","6","0","0","0","1","0","0","22","6","0","0","0"
"389.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Остала делатност личних услуга","Мушки фризер","3","Српски језик","1","1","0","16","9","0","0","0","1","1","0","13","10","1","0","0","1","1","0","17","15","0","0","0","0","0","0","0","0","0","0","0"
"390.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Остала делатност личних услуга","Женски фризер","3","Српски језик","1","1","0","15","14","1","2","0","1","1","0","15","14","4","0","0","1","1","0","17","17","1","0","0","0","0","0","0","0","0","0","0"
"391.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Хемија, неметали и графичарство","Техничар за заштиту животне средине","4","Српски језик","1","0","0","28","20","0","1","0","1","0","0","29","19","0","0","0","1","0","0","22","14","0","0","0","1","0","0","23","13","0","0","0"
"392.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Хемија, неметали и графичарство","Техничар за индустријску фармацеутску технологију","4","Српски језик","1","0","0","30","25","0","0","0","1","0","0","29","25","0","0","0","1","0","0","27","20","0","0","0","1","0","0","30","24","0","0","0"
"393.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Хемија, неметали и графичарство","Техничар за графичку припрему","4","Српски језик","1","0","0","28","20","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"394.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Геологија, рударство и металургија","Техничар за рециклажу - преведен оглед","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","24","17","1","0","0","0","0","0","0","0","0","0","0","1","0","0","20","12","0","2","0"
"395.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Геодезија и грађевинарство","Архитектонски техничар - преведен оглед","4","Српски језик","1","0","0","30","20","0","0","0","1","0","0","25","16","0","0","0","1","0","0","26","16","0","0","0","1","0","0","22","7","0","0","0"
"396.","1370","Државно","Јужнобанатски управни округ","Панчево - град","Техничка школа 23. мај","Хемија, неметали и графичарство","Техничар за прераду нафте и гаса","4","Српски језик","1","0","0","30","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"397.","1372","Државно","Севернобачки управни округ","Бачка Топола","Гимназија и економска школа Доситеј Обрадовић","Економија, право и администрација","Економски техничар","4","Мађарски језик","0","0","0","0","0","0","0","0","1","0","0","22","17","0","0","0","1","0","0","28","18","0","0","0","1","0","0","22","15","0","0","0"
"398.","1372","Државно","Севернобачки управни округ","Бачка Топола","Гимназија и економска школа Доситеј Обрадовић","Гимназија","Општи тип гимназије","4","Мађарски језик","1","0","0","26","19","0","0","0","1","0","0","16","13","0","0","0","1","0","0","26","18","0","0","0","1","0","0","18","8","0","0","0"
"399.","1372","Државно","Севернобачки управни округ","Бачка Топола","Гимназија и економска школа Доситеј Обрадовић","Економија, право и администрација","Економски техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","14","0","0","0","1","0","0","25","19","0","0","0"
"400.","1372","Државно","Севернобачки управни округ","Бачка Топола","Гимназија и економска школа Доситеј Обрадовић","Гимназија","Општи тип гимназије","4","Српски језик","1","0","0","31","18","0","0","0","1","0","0","28","17","0","0","0","1","0","0","16","4","0","0","0","1","0","0","18","10","0","0","0"
"401.","1373","Државно","Западнобачки управни округ","Апатин","Техничка школа са домом ученика","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","1","0","0","0"
"402.","1373","Државно","Западнобачки управни округ","Апатин","Техничка школа са домом ученика","Машинство и обрада метала","Заваривач","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"403.","1373","Државно","Западнобачки управни округ","Апатин","Техничка школа са домом ученика","Машинство и обрада метала","Аутомеханичар","3","Српски језик","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"404.","1373","Државно","Западнобачки управни округ","Апатин","Техничка школа са домом ученика","Трговина, угоститељство и туризам","Конобар","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"405.","1373","Државно","Западнобачки управни округ","Апатин","Техничка школа са домом ученика","Трговина, угоститељство и туризам","Кувар","3","Српски језик","1","0","0","32","12","0","0","0","1","0","0","16","4","0","0","0","1","1","0","10","4","0","0","0","0","0","0","0","0","0","0","0"
"406.","1373","Државно","Западнобачки управни округ","Апатин","Техничка школа са домом ученика","Саобраћај","Наутички техничар - речни смер","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","6","1","0","0","0","1","0","0","16","8","0","0","0","1","0","0","12","0","0","0","0"
"407.","1373","Државно","Западнобачки управни округ","Апатин","Техничка школа са домом ученика","Машинство и обрада метала","Техничар за компјутерско управљање (CNC) машина","4","Српски језик","1","0","0","30","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"408.","1374","Државно","Западнобачки управни округ","Апатин","Средња грађевинска и дрвопрерађивачка стручна школа","Шумарство и обрада дрвета","Техничар за обликовање намештаја и ентеријера","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","19","10","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","10","0","0","0"
"409.","1374","Државно","Западнобачки управни округ","Апатин","Средња грађевинска и дрвопрерађивачка стручна школа","Геодезија и грађевинарство","Архитектонски техничар - преведен оглед","4","Српски језик","1","0","0","24","10","0","0","0","1","0","0","17","11","0","0","0","1","0","0","12","4","0","0","0","0","0","0","0","0","0","0","0"
"410.","1374","Државно","Западнобачки управни округ","Апатин","Средња грађевинска и дрвопрерађивачка стручна школа","Геодезија и грађевинарство","Грађевински техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0"
"411.","1375","Државно","Западнобачки управни округ","Кула","Основна школа и гимназија Пјетро Кузмјак са домом ученика","Гимназија","Општи тип гимназије","4","Русински језик","1","0","0","11","4","1","2","0","1","0","0","13","9","0","1","0","1","0","0","14","2","0","0","0","1","0","0","17","11","2","0","0"
"412.","1375","Државно","Западнобачки управни округ","Кула","Основна школа и гимназија Пјетро Кузмјак са домом ученика","Трговина, угоститељство и туризам","Туристички техничар","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","26","21","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"413.","1375","Државно","Западнобачки управни округ","Кула","Основна школа и гимназија Пјетро Кузмјак са домом ученика","Гимназија","Општи тип гимназије","4","Српски језик","1","0","0","18","13","0","0","0","1","0","0","28","19","0","1","0","1","0","0","28","15","0","0","0","1","0","0","19","11","0","0","0"
"414.","1375","Државно","Западнобачки управни округ","Кула","Основна школа и гимназија Пјетро Кузмјак са домом ученика","Трговина, угоститељство и туризам","Туристички техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","27","21","0","0","0","1","0","0","22","21","0","0","0"
"415.","1375","Државно","Западнобачки управни округ","Кула","Основна школа и гимназија Пјетро Кузмјак са домом ученика","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Српски језик","1","0","0","22","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"416.","1376","Државно","Западнобачки управни округ","Кула","Економско-трговинска школа","Трговина, угоститељство и туризам","Конобар","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","6","2","0","0","0","0","0","0","0","0","0","0","0"
"417.","1376","Државно","Западнобачки управни округ","Кула","Економско-трговинска школа","Трговина, угоститељство и туризам","Кувар","3","Српски језик","1","0","0","26","11","0","2","0","1","0","0","27","13","0","1","0","1","0","0","21","7","0","1","0","0","0","0","0","0","0","0","0"
"418.","1376","Државно","Западнобачки управни округ","Кула","Економско-трговинска школа","Трговина, угоститељство и туризам","Посластичар","3","Српски језик","1","1","0","10","6","0","3","0","1","1","0","10","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"419.","1376","Државно","Западнобачки управни округ","Кула","Економско-трговинска школа","Економија, право и администрација","Економски техничар","4","Српски језик","1","0","0","30","21","0","0","0","1","0","0","29","24","0","0","0","1","0","0","26","17","0","0","0","1","0","0","21","15","0","0","0"
"420.","1376","Државно","Западнобачки управни округ","Кула","Економско-трговинска школа","Економија, право и администрација","Пословни администратор","4","Српски језик","1","0","0","20","16","0","0","0","1","0","0","29","21","0","0","0","1","0","0","22","19","0","0","0","1","0","0","27","23","0","0","0"
"421.","1376","Државно","Западнобачки управни округ","Кула","Економско-трговинска школа","Економија, право и администрација","Финансијски администратор","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","14","0","0","0","1","0","0","19","17","0","0","0"
"422.","1376","Државно","Западнобачки управни округ","Кула","Економско-трговинска школа","Економија, право и администрација","Комерцијалиста","4","Српски језик","1","0","0","28","18","0","0","0","1","0","0","29","18","0","0","0","1","0","0","23","15","0","0","0","1","0","0","20","13","0","0","0"
"423.","1376","Државно","Западнобачки управни округ","Кула","Економско-трговинска школа","Трговина, угоститељство и туризам","Трговац 16 2013","3","Српски језик","1","1","0","13","8","0","0","0","1","1","0","9","3","0","0","0","1","1","0","8","5","0","0","0","0","0","0","0","0","0","0","0"
"424.","1377","Државно","Западнобачки управни округ","Кула","Средња техничка школа Михајло Пупин","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Српски језик","1","0","0","20","0","0","0","0","1","0","0","24","2","0","0","0","1","0","0","16","0","0","0","0","1","0","0","18","0","0","0","0"
"425.","1377","Државно","Западнобачки управни округ","Кула","Средња техничка школа Михајло Пупин","Машинство и обрада метала","Заваривач","3","Српски језик","1","1","0","15","0","0","0","0","1","1","0","15","0","0","0","0","1","1","0","12","0","0","0","0","0","0","0","0","0","0","0","0"
"426.","1377","Државно","Западнобачки управни округ","Кула","Средња техничка школа Михајло Пупин","Машинство и обрада метала","Аутомеханичар","3","Српски језик","1","1","0","11","0","3","0","0","1","1","0","11","0","0","0","0","1","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0"
"427.","1377","Државно","Западнобачки управни округ","Кула","Средња техничка школа Михајло Пупин","Електротехника","Електротехничар енергетике","4","Српски језик","1","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","22","0","0","0","0"
"428.","1377","Државно","Западнобачки управни округ","Кула","Средња техничка школа Михајло Пупин","Електротехника","Електротехничар аутоматике","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0"
"429.","1377","Државно","Западнобачки управни округ","Кула","Средња техничка школа Михајло Пупин","Електротехника","Електротехничар рачунара","4","Српски језик","1","0","0","30","1","0","0","0","1","0","0","30","0","0","0","0","2","0","0","48","3","0","0","0","2","0","0","52","1","0","0","0"
"430.","1377","Државно","Западнобачки управни округ","Кула","Средња техничка школа Михајло Пупин","Електротехника","Електротехничар информационих технологија - оглед","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","24","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"431.","1377","Државно","Западнобачки управни округ","Кула","Средња техничка школа Михајло Пупин","Електротехника","Електротехничар обновљивих извора енергије","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","30","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
